,tweet
88,"b'RT @Diego_Luis_Cord: Un saludo a Nuestro Gobernador An\xc3\xadbal Gaviria, se de su compromiso con el Departamento y de su amor patrio. Feliz dia\xe2\x80\xa6'"
89,"b'@elnegrochicho Gran compa\xc3\xb1ero Chicho, todo amor.'"
90,"b'RT @bxktoon: ""tetsu, esc\xc3\xbachame bien, el amor no existe. No te enamores jam\xc3\xa1s, no abras tu coraz\xc3\xb3n a nadie, no dejes que nadie vea dentro de\xe2\x80\xa6'"
91,"b'Un amor como el tuyo, gracias a ti mi bisabuela, por ese amor incondicional, nos har\xc3\xa1s falta.\n\n20-07-2020 \xf0\x9f\x98\xad\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc\n\nSalm\xe2\x80\xa6 https://t.co/MbkRybxn51'"
92,"b'RT @LeeWang74046350: #jiminpretty \nC\xc3\xb3mo es posible que ataquen de esa manera a Jimin? Osea... \xc2\xbfQu\xc3\xa9 hizo mal? Dejenlo en paz, el no hizo nad\xe2\x80\xa6'"
93,"b'RT @luzma04042407: Entend\xc3\xad que:\n\nLa vida sigue, con o sin amigos, con o sin amor.\n\n\xf0\x9f\x92\x99\xf0\x9f\x92\x99 https://t.co/SfGPGYUUF1'"
94,"b'RT @IvanDuque: Hoy queremos enviarles un saludo fraterno a los h\xc3\xa9roes de Colombia. Ustedes, soldados y polic\xc3\xadas, han ayudado en estos momen\xe2\x80\xa6'"
95,"b'Los actos de amor no pasan, dejan en el coraz\xc3\xb3n una se\xc3\xb1al imborrable.'"
96,"b'RT @VivaNicaragua79: #41JulioEnVictorias | Hoy despert\xc3\xa9 agradecida con la vida, xq hoy en Nicaragua hay paz, hay amor, hay tranquilidad y l\xe2\x80\xa6'"
97,"b'RT @ssolegario: Saludos camarada,hermana y compatriota. Tambi\xc3\xa9n para ud y los suyos, un saludo llenos de bendiciones,paz pero sobre todo mu\xe2\x80\xa6'"
98,b'RT @auronxsea: GUSTABO GARC\xc3\x8dA SOS UN TERRIBLE PUTO Y TU SOCIOPATIA UNA TERRIBLE MIERDA NO TE ACORD\xc3\x81S CUANDO HORACIO TE LLENABA EL ALMA DE A\xe2\x80\xa6'
99,b'Dia del amigo amor amor amor amor'
100,"b'RT @FuerzasMilCol: Nuestra bandera, s\xc3\xadmbolo de amor y entrega por #Colombia. Por eso los soldados aviadores rendimos un homenaje a estos 21\xe2\x80\xa6'"
101,"b'@alwaysxxlarrie no, amor, a campo delantero jajshaj'"
102,"b'RT @IvanDuque: Hoy exaltamos la dedicaci\xc3\xb3n de integrantes de la Fuerza P\xc3\xbablica que, adem\xc3\xa1s de velar por la seguridad y la integridad de los\xe2\x80\xa6'"
103,"b'RT @Edisu_Cristi: Padre: El amor, criatura.\nG: \xc2\xa1A quien le importa el amor, padre!\nPadre: Yo te amo, tu e amas?\nG: Claro, padre.\nPadre: Pue\xe2\x80\xa6'"
